year,"disaster type","Country iso, Country name",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
2012,"Transport accident",VNM,"Viet Nam",1,35,0,23,0,23,0
2013,Earthquake,IDN,Indonesia,3,50,56638,2550,0,59188,130000
2013,Earthquake,PHL,Philippines,1,230,3221248,976,0,3222224,51459
2013,Epidemic,LAO,"Lao P Dem Rep",1,77,36000,0,0,36000,0
2013,Flood,KHM,Cambodia,1,200,1500000,0,0,1500000,500000
2013,Flood,IDN,Indonesia,10,89,591276,0,0,591276,3000000
2013,Flood,LAO,"Lao P Dem Rep",2,23,574176,77,0,574253,121000
2013,Flood,MYS,Malaysia,1,4,75000,0,0,75000,0
2013,Flood,MMR,Myanmar,1,7,73300,0,0,73300,0
2013,Flood,PHL,Philippines,5,105,4500279,59,0,4500338,2234788
2013,Flood,THA,Thailand,3,84,3500000,0,15254,3515254,579000
2013,Flood,VNM,"Viet Nam",6,141,2158865,66,2070,2161001,78500
2013,"Industrial accident",IDN,Indonesia,1,28,10,0,0,10,0
2013,"Industrial accident",VNM,"Viet Nam",1,24,4385,97,30,4512,0
2013,Landslide,IDN,Indonesia,2,34,0,3,0,3,0
2013,Landslide,MMR,Myanmar,1,16,0,0,0,0,0
2013,"Miscellaneous accident",IDN,Indonesia,1,17,0,38,0,38,0
2013,"Miscellaneous accident",MMR,Myanmar,1,13,0,0,0,0,0
2013,"Miscellaneous accident",THA,Thailand,1,42,0,0,0,0,0
2013,"Miscellaneous accident",VNM,"Viet Nam",1,10,0,0,0,0,0
2013,Storm,PHL,Philippines,8,7415,17915713,28858,0,17944571,10136563
2013,Storm,VNM,"Viet Nam",4,79,1962485,584,375,1963444,1474230
2013,"Transport accident",IDN,Indonesia,2,47,189,0,0,189,0
2013,"Transport accident",LAO,"Lao P Dem Rep",1,49,0,0,0,0,0
2013,"Transport accident",MYS,Malaysia,3,100,191,16,0,207,0
2013,"Transport accident",MMR,Myanmar,4,185,0,49,0,49,0
2013,"Transport accident",PHL,Philippines,2,159,629,20,0,649,0
2013,"Transport accident",THA,Thailand,4,78,0,20,0,20,0
2013,"Volcanic activity",IDN,Indonesia,2,0,42027,0,0,42027,0
2014,Drought,MYS,Malaysia,1,0,2200000,0,0,2200000,0
2014,Drought,THA,Thailand,1,0,0,0,0,0,0
2014,Earthquake,THA,Thailand,1,1,17500,23,0,17523,62000
2014,"Extreme temperature ",THA,Thailand,1,63,1000000,0,0,1000000,0
2014,Flood,KHM,Cambodia,1,45,472500,0,57950,530450,0
2014,Flood,IDN,Indonesia,6,77,417977,0,5250,423227,926000
2014,Flood,LAO,"Lao P Dem Rep",1,0,750,0,0,750,0
