occurrence,year,"Country iso, Country name",disaster type,Total deaths,Affected,Injured,Homeless,Total affected,Total damage ('000 US$)
Thailand,2001,THA,Miscellaneous accident,1,17,5000,90,0,0
Thailand,2001,THA,Storm,1,0,150,0,0,0
Thailand,2001,THA,Transport accident,2,32,0,27,0,0
Thailand,2002,THA,Drought,1,0,5000000,0,0,2300
Thailand,2002,THA,Flood,2,154,3290858,62,0,35827
Thailand,2002,THA,Landslide,1,35,0,0,33000,0
Thailand,2002,THA,Storm,2,1,27000,100,3104,2000
Thailand,2002,THA,Transport accident,2,25,0,37,0,0
Thailand,2003,THA,Epidemic,2,9,11,0,0,0
Thailand,2003,THA,Flood,3,9,107700,0,0,26400
Thailand,2003,THA,Storm,1,0,5000,0,0,0
Thailand,2004,THA,Earthquake,1,8345,58550,8457,0,1000000
Thailand,2004,THA,Epidemic,1,14,8,0,0,0
Thailand,2004,THA,Flood,3,13,507000,0,0,175000
Thailand,2004,THA,Industrial accident,1,14,0,2,0,0
Thailand,2004,THA,Landslide,1,3,100,10,0,0
Thailand,2004,THA,Miscellaneous accident,1,0,0,0,3500,0
Thailand,2004,THA,Storm,2,14,9000,0,50,0
Thailand,2004,THA,Transport accident,2,39,0,30,0,0
Thailand,2005,THA,Drought,1,0,0,0,0,420000
Thailand,2005,THA,Flood,2,76,819270,40,0,218000
Thailand,2005,THA,Storm,2,10,3500,0,0,20246
Thailand,2005,THA,Transport accident,3,27,0,265,0,0
Thailand,2005,THA,Wildfire,1,0,0,0,0,0
Thailand,2006,THA,Flood,3,280,2557308,0,0,34940
Thailand,2007,THA,Flood,5,53,183000,0,0,1500
Thailand,2007,THA,Transport accident,5,160,0,207,0,0
Thailand,2008,THA,Drought,1,0,10000000,0,0,0
Thailand,2008,THA,Flood,3,39,1572157,0,0,27844
Thailand,2008,THA,Storm,2,0,0,0,1000,0
Thailand,2008,THA,Transport accident,2,32,0,27,0,0
Thailand,2009,THA,Flood,1,15,200000,0,0,0
Thailand,2009,THA,Miscellaneous accident,1,66,0,200,0,0
Thailand,2009,THA,Transport accident,1,17,0,59,0,0
Thailand,2010,THA,Drought,1,0,6482602,0,0,0
Thailand,2010,THA,Epidemic,1,2,880,0,0,0
Thailand,2010,THA,Flood,1,258,8970653,0,0,332000
Thailand,2010,THA,Miscellaneous accident,1,0,0,0,300,0
Thailand,2011,THA,Drought,1,0,0,0,0,0
Thailand,2011,THA,Earthquake,1,1,0,16,0,0
Thailand,2011,THA,Epidemic,1,27,37728,0,0,0
Thailand,2011,THA,Flood,2,877,10216110,0,0,40317000
Thailand,2011,THA,Storm,1,18,1000000,0,0,0
Thailand,2011,THA,Transport accident,1,12,0,4,0,0
Thailand,2012,THA,Flood,1,0,235545,0,0,0
Thailand,2012,THA,Industrial accident,1,12,0,129,0,0
Thailand,2013,THA,Flood,3,84,3500000,0,15254,579000
Thailand,2013,THA,Miscellaneous accident,1,42,0,0,0,0
Thailand,2013,THA,Transport accident,4,78,0,20,0,0
Thailand,2014,THA,Drought,1,0,0,0,0,0
Thailand,2014,THA,Earthquake,1,1,17500,23,0,62000
Thailand,2014,THA,Extreme temperature ,1,63,1000000,0,0,0
Thailand,2014,THA,Flood,4,29,131280,8,0,10000
Thailand,2014,THA,Industrial accident,1,10,0,17,0,0
Thailand,2014,THA,Storm,1,0,0,0,2000,0
Thailand,2014,THA,Transport accident,3,75,0,53,0,0
Viet Nam,2000,VNM,Flood,2,496,5025000,7,0,265000
